Country,Country Code,Series,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,SABER: (Teachers) Policy Goal 2 Lever 3: Are working conditions appealing for talented applicants?,SABER.TECH.GOAL2.LVL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 2 Lever 4: Are there attractive career opportunities?,SABER.TECH.GOAL2.LVL4,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 8: Motivating teachers to perform,SABER.TECH.GOAL8,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 8 Lever 3: Is teacher compensation linked to performance?,SABER.TECH.GOAL8.LVL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 8 Lever 2: Are there mechanisms to hold teachers accountable?,SABER.TECH.GOAL8.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 8 Lever 1: Are career opportunities linked to performance?,SABER.TECH.GOAL8.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 7: Supporting teachers to improve instruction,SABER.TECH.GOAL7,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 7 Lever 3: Is teacher professional development assigned based on perceived needs?,SABER.TECH.GOAL7.LVL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 7 Lever 2: Is teacher professional development collaborative and focused on instructional improvement?,SABER.TECH.GOAL7.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 2: Teacher appointment and deployment,SABER.PRVT.GOAL1.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 6: Monitoring teaching and learning,SABER.TECH.GOAL6,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 6 Lever 3: Are there multiple mechanisms to evaluate teacher performance?,SABER.TECH.GOAL6.LVL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 6 Lever 2: Are there systems in place to monitor teacher performance?,SABER.TECH.GOAL6.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 6 Lever 1: Are there systems in place to assess student learning in order to inform teaching and policy?,SABER.TECH.GOAL6.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 5: Leading teachers with strong principals,SABER.TECH.GOAL5,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 5 Lever 2: Are principals expected to support and improve instructional practice?,SABER.TECH.GOAL5.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 5 Lever 1: Does the education system invest in developing qualified school leaders?,SABER.TECH.GOAL5.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 4: Matching teachers' skills with students' needs,SABER.TECH.GOAL4,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 4 Lever 2: Are there incentives for teachers to teach critical shortage subjects?,SABER.TECH.GOAL4.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 4 Lever 1: Are there incentives for teachers to work at hard-to-staff schools?,SABER.TECH.GOAL4.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 3: Preparing teachers with useful Training and experience,SABER.TECH.GOAL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 3 Lever 2: To what extent are teacher-entrants required to be familiar with classroom practice?,SABER.TECH.GOAL3.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 3 Lever 1: Are there minimum standards for pre-service teaching education programs?,SABER.TECH.GOAL3.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 2: Attracting the best into teaching,SABER.TECH.GOAL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 1: Setting clear expectations for teachers,SABER.TECH.GOAL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 1 Lever 1: Are there clear expectations for teachers?,SABER.TECH.GOAL1.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 1 Lever 2: Is there useful guidance on the use of teachers' working time?,SABER.TECH.GOAL1.LVL2,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (School Autonomy Accountability) Policy Goal 2 Lever 1: Autonomy in teacher appointment and deployment decisions,SABER.SCH.ATNM.GOAL2.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (School Autonomy Accountability) Policy Goal 1 Lever 3: Legal authority over the management of teacher salaries,SABER.SCH.ATNM.GOAL1.LVL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 4: Teacher dismissal,SABER.PRVT.GOAL1.LVL4,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 7 Lever 1: Are there opportunities for professional development?,SABER.TECH.GOAL7.LVL1,,,,,,,,,,,,,,,
Albania,ALB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,377.46105645178,,,394.329333356314,,,
Albania,ALB,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,390.695745527028,,,397.373213559178,,,
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,,,,,,,,,,,,,,,
Albania,ALB,Pupil-teacher ratio in secondary education (headcount basis),SE.SEC.ENRL.TC.ZS,16.96302,,17.66389,,,,,16.79416,14.7321,14.77747,15.24414,14.89293,14.75715,14.29575,
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,,,,,,,,,,,,,,,
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,,,,,,,,,,,,,,,
Albania,ALB,Pupil-teacher ratio in lower secondary education (headcount basis),UIS.PTRHC.2,16.48796,,16.41895,,,,,14.46957,13.8416,13.59361,13.56069,13.15755,12.91569,12.3303,
Albania,ALB,Pupil-teacher ratio in upper secondary education (headcount basis),UIS.PTRHC.3,18.22594,19.7351,20.78361,20.72588,21.12879,20.57922,20.56849,21.18239,16.50547,17.04933,18.35603,17.96082,17.93554,17.65478,
Albania,ALB,"Teachers in lower secondary education, both sexes (number)",UIS.T.2,16190,,16028,,,,,15825,16023,15832,15119,14979,14861,14708,
Albania,ALB,"Teachers in upper secondary education, both sexes (number)",UIS.T.3,6090,6210,6396,6873,7384,7997,8424,8383,8046,8250,8179,8473,8610,8606,
Albania,ALB,"Percentage of teachers in upper secondary education who are trained, both sexes (%)",UIS.TRTP.3,,,,,,,,,,,,,2.33449,1.66163,
Albania,ALB,"Percentage of teachers in lower secondary education who are trained, both sexes (%)",UIS.TRTP.2,,,,,,,,,,,,,9.46101,8.17922,
Albania,ALB,Government expenditure per secondary student as % of GDP per capita (%),SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,5.80761,,
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,14363546855.3481,15006982548.0019,16178685418.3221,17604343765.9417,19170165227.1802,21489803883.2447,22747875580.211,25845343277.1906,27357939543.5824,27083791636.5349,28002457450.2638,28038149247.774,28758984369.9718,30184904809.3061,
Albania,ALB,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 3: Teacher salaries,SABER.PRVT.GOAL1.LVL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 1: Teacher standards,SABER.PRVT.GOAL1.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 2 Lever 1: Are entry requirements set up to attract talented candidates?,SABER.TECH.GOAL2.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 2 Lever 2: Is teacher pay appealing for talented candidates?,SABER.TECH.GOAL2.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 2 Lever 3: Are working conditions appealing for talented applicants?,SABER.TECH.GOAL2.LVL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 2 Lever 4: Are there attractive career opportunities?,SABER.TECH.GOAL2.LVL4,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 8: Motivating teachers to perform,SABER.TECH.GOAL8,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 8 Lever 3: Is teacher compensation linked to performance?,SABER.TECH.GOAL8.LVL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 8 Lever 2: Are there mechanisms to hold teachers accountable?,SABER.TECH.GOAL8.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 8 Lever 1: Are career opportunities linked to performance?,SABER.TECH.GOAL8.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 7: Supporting teachers to improve instruction,SABER.TECH.GOAL7,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 7 Lever 3: Is teacher professional development assigned based on perceived needs?,SABER.TECH.GOAL7.LVL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 7 Lever 2: Is teacher professional development collaborative and focused on instructional improvement?,SABER.TECH.GOAL7.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 2: Teacher appointment and deployment,SABER.PRVT.GOAL1.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 6: Monitoring teaching and learning,SABER.TECH.GOAL6,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 6 Lever 3: Are there multiple mechanisms to evaluate teacher performance?,SABER.TECH.GOAL6.LVL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 6 Lever 2: Are there systems in place to monitor teacher performance?,SABER.TECH.GOAL6.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 6 Lever 1: Are there systems in place to assess student learning in order to inform teaching and policy?,SABER.TECH.GOAL6.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 5: Leading teachers with strong principals,SABER.TECH.GOAL5,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 5 Lever 2: Are principals expected to support and improve instructional practice?,SABER.TECH.GOAL5.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 5 Lever 1: Does the education system invest in developing qualified school leaders?,SABER.TECH.GOAL5.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 4: Matching teachers' skills with students' needs,SABER.TECH.GOAL4,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 4 Lever 2: Are there incentives for teachers to teach critical shortage subjects?,SABER.TECH.GOAL4.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 4 Lever 1: Are there incentives for teachers to work at hard-to-staff schools?,SABER.TECH.GOAL4.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 3: Preparing teachers with useful Training and experience,SABER.TECH.GOAL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 3 Lever 2: To what extent are teacher-entrants required to be familiar with classroom practice?,SABER.TECH.GOAL3.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 3 Lever 1: Are there minimum standards for pre-service teaching education programs?,SABER.TECH.GOAL3.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 2: Attracting the best into teaching,SABER.TECH.GOAL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 1: Setting clear expectations for teachers,SABER.TECH.GOAL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 1 Lever 1: Are there clear expectations for teachers?,SABER.TECH.GOAL1.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 1 Lever 2: Is there useful guidance on the use of teachers' working time?,SABER.TECH.GOAL1.LVL2,,,,,,,,,,,,,,,
Albania,ALB,SABER: (School Autonomy Accountability) Policy Goal 2 Lever 1: Autonomy in teacher appointment and deployment decisions,SABER.SCH.ATNM.GOAL2.LVL1,,,,,,,,,,,,,,,
Albania,ALB,SABER: (School Autonomy Accountability) Policy Goal 1 Lever 3: Legal authority over the management of teacher salaries,SABER.SCH.ATNM.GOAL1.LVL3,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 4: Teacher dismissal,SABER.PRVT.GOAL1.LVL4,,,,,,,,,,,,,,,
Albania,ALB,SABER: (Teachers) Policy Goal 7 Lever 1: Are there opportunities for professional development?,SABER.TECH.GOAL7.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,,,,,,,
Algeria,DZA,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,,,,,,,
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,,,,,,,,,,,,,,,
Algeria,DZA,Pupil-teacher ratio in secondary education (headcount basis),SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,,,,
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,,,,,,,,,,,,,,,
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,,,,,,,,,,,,,,,
Algeria,DZA,Pupil-teacher ratio in lower secondary education (headcount basis),UIS.PTRHC.2,,,,,,,,,,,,,,,
Algeria,DZA,Pupil-teacher ratio in upper secondary education (headcount basis),UIS.PTRHC.3,,,,,,,,,,,,,,,
Algeria,DZA,"Teachers in lower secondary education, both sexes (number)",UIS.T.2,,,,,,,,,,,,,,,
Algeria,DZA,"Teachers in upper secondary education, both sexes (number)",UIS.T.3,,,,,,,,,,,,,,,
Algeria,DZA,"Percentage of teachers in upper secondary education who are trained, both sexes (%)",UIS.TRTP.3,,,,,,,,,,,,,,,
Algeria,DZA,"Percentage of teachers in lower secondary education who are trained, both sexes (%)",UIS.TRTP.2,,,,,,,,,,,,,,,
Algeria,DZA,Government expenditure per secondary student as % of GDP per capita (%),SE.XPD.SECO.PC.ZS,,18.22803,18.26467,,,,,,,,,,,,
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,265927526673.776,285130397679.01,311754815809.842,334101272083.287,365197678156.799,382816621854.375,406366817835.049,422624923358.66,432647748473.611,453698178590.591,476031272150.178,500568106738.817,522251592909.858,551595934872.574,
Algeria,DZA,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 3: Teacher salaries,SABER.PRVT.GOAL1.LVL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 1: Teacher standards,SABER.PRVT.GOAL1.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 2 Lever 1: Are entry requirements set up to attract talented candidates?,SABER.TECH.GOAL2.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 2 Lever 2: Is teacher pay appealing for talented candidates?,SABER.TECH.GOAL2.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 2 Lever 3: Are working conditions appealing for talented applicants?,SABER.TECH.GOAL2.LVL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 2 Lever 4: Are there attractive career opportunities?,SABER.TECH.GOAL2.LVL4,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 8: Motivating teachers to perform,SABER.TECH.GOAL8,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 8 Lever 3: Is teacher compensation linked to performance?,SABER.TECH.GOAL8.LVL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 8 Lever 2: Are there mechanisms to hold teachers accountable?,SABER.TECH.GOAL8.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 8 Lever 1: Are career opportunities linked to performance?,SABER.TECH.GOAL8.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 7: Supporting teachers to improve instruction,SABER.TECH.GOAL7,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 7 Lever 3: Is teacher professional development assigned based on perceived needs?,SABER.TECH.GOAL7.LVL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 7 Lever 2: Is teacher professional development collaborative and focused on instructional improvement?,SABER.TECH.GOAL7.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 2: Teacher appointment and deployment,SABER.PRVT.GOAL1.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 6: Monitoring teaching and learning,SABER.TECH.GOAL6,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 6 Lever 3: Are there multiple mechanisms to evaluate teacher performance?,SABER.TECH.GOAL6.LVL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 6 Lever 2: Are there systems in place to monitor teacher performance?,SABER.TECH.GOAL6.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 6 Lever 1: Are there systems in place to assess student learning in order to inform teaching and policy?,SABER.TECH.GOAL6.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 5: Leading teachers with strong principals,SABER.TECH.GOAL5,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 5 Lever 2: Are principals expected to support and improve instructional practice?,SABER.TECH.GOAL5.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 5 Lever 1: Does the education system invest in developing qualified school leaders?,SABER.TECH.GOAL5.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 4: Matching teachers' skills with students' needs,SABER.TECH.GOAL4,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 4 Lever 2: Are there incentives for teachers to teach critical shortage subjects?,SABER.TECH.GOAL4.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 4 Lever 1: Are there incentives for teachers to work at hard-to-staff schools?,SABER.TECH.GOAL4.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 3: Preparing teachers with useful Training and experience,SABER.TECH.GOAL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 3 Lever 2: To what extent are teacher-entrants required to be familiar with classroom practice?,SABER.TECH.GOAL3.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 3 Lever 1: Are there minimum standards for pre-service teaching education programs?,SABER.TECH.GOAL3.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 2: Attracting the best into teaching,SABER.TECH.GOAL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 1: Setting clear expectations for teachers,SABER.TECH.GOAL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 1 Lever 1: Are there clear expectations for teachers?,SABER.TECH.GOAL1.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 1 Lever 2: Is there useful guidance on the use of teachers' working time?,SABER.TECH.GOAL1.LVL2,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (School Autonomy Accountability) Policy Goal 2 Lever 1: Autonomy in teacher appointment and deployment decisions,SABER.SCH.ATNM.GOAL2.LVL1,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (School Autonomy Accountability) Policy Goal 1 Lever 3: Legal authority over the management of teacher salaries,SABER.SCH.ATNM.GOAL1.LVL3,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 4: Teacher dismissal,SABER.PRVT.GOAL1.LVL4,,,,,,,,,,,,,,,
Algeria,DZA,SABER: (Teachers) Policy Goal 7 Lever 1: Are there opportunities for professional development?,SABER.TECH.GOAL7.LVL1,,,,,,,,,,,,,,,
American Samoa,ASM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,,,,,,,
American Samoa,ASM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,,,,,,,
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,,,,,,,,,,,,,,,
American Samoa,ASM,Pupil-teacher ratio in secondary education (headcount basis),SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,,,,
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,,,,,,,,,,,,,,,
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,,,,,,,,,,,,,,,
American Samoa,ASM,Pupil-teacher ratio in lower secondary education (headcount basis),UIS.PTRHC.2,,,,,,,,,,,,,,,
American Samoa,ASM,Pupil-teacher ratio in upper secondary education (headcount basis),UIS.PTRHC.3,,,,,,,,,,,,,,,
American Samoa,ASM,"Teachers in lower secondary education, both sexes (number)",UIS.T.2,,,,,,,,,,,,,,,
American Samoa,ASM,"Teachers in upper secondary education, both sexes (number)",UIS.T.3,,,,,,,,,,,,,,,
American Samoa,ASM,"Percentage of teachers in upper secondary education who are trained, both sexes (%)",UIS.TRTP.3,,,,,,,,,,,,,,,
American Samoa,ASM,"Percentage of teachers in lower secondary education who are trained, both sexes (%)",UIS.TRTP.2,,,,,,,,,,,,,,,
American Samoa,ASM,Government expenditure per secondary student as % of GDP per capita (%),SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 3: Teacher salaries,SABER.PRVT.GOAL1.LVL3,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 1: Teacher standards,SABER.PRVT.GOAL1.LVL1,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 2 Lever 1: Are entry requirements set up to attract talented candidates?,SABER.TECH.GOAL2.LVL1,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 2 Lever 2: Is teacher pay appealing for talented candidates?,SABER.TECH.GOAL2.LVL2,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 2 Lever 3: Are working conditions appealing for talented applicants?,SABER.TECH.GOAL2.LVL3,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 2 Lever 4: Are there attractive career opportunities?,SABER.TECH.GOAL2.LVL4,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 8: Motivating teachers to perform,SABER.TECH.GOAL8,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 8 Lever 3: Is teacher compensation linked to performance?,SABER.TECH.GOAL8.LVL3,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 8 Lever 2: Are there mechanisms to hold teachers accountable?,SABER.TECH.GOAL8.LVL2,,,,,,,,,,,,,,,
American Samoa,ASM,SABER: (Teachers) Policy Goal 8 Lever 1: Are career opportunities linked to performance?,SABER.TECH.GOAL8.LVL1,,,,,,,,,,,,,,,
